Irradiance[W/m^2],Temperature[deg C],Humidity[%],Wind Speed[m/s]
468.13,-13.13,55.27,1.215
464.075,-13.22,54.96,0.697
459.833,-13.1,56.76,0
455.986,-12.77,55.19,0.215
456.358,-12.56,54.49,0.367
455.016,-12.52,55.67,0.245
459.016,-12.54,55.19,0.607
461.88,-12.8,54.62,0.16
461.778,-12.98,54.69,0.57
458.513,-12.77,54.27,0.2
454.52,-12.58,55.43,0
454.46,-12.55,55.53,0.235
455.028,-12.69,54.41,1.138
454.075,-13.05,54.29,1.55
451.903,-13.25,55.82,1.438
449.368,-13.4,56.44,1.188
447.383,-13.59,57.21,0.203
447.073,-13.57,56.91,0.542
446.196,-13.35,56.98,0.07
444.061,-13.1,55.69,1.438
441.958,-13.06,57.14,1.188
440.754,-13.07,58.87,1.363
439.748,-13.16,58.97,1.05
437.387,-13.08,57.56,1.213
437.248,-12.99,58.76,0.9
438.121,-13,57.87,1.03
437.053,-13.18,57.58,1.163
435.055,-13.39,58.17,0.43
433.675,-13.39,56.94,1.238
431.153,-13.33,56.79,0.958
427.045,-13.25,56.67,1.025
424.707,-13.12,57.49,1.775
423.341,-13.12,59.77,1.053
423.844,-12.95,59.36,1.563
423.102,-12.76,59.02,1.163
421.545,-12.78,58.68,1.45
418.923,-12.8,58.22,0.995
416.858,-12.91,58.49,0.975
415.387,-13.07,59.49,0.238
413.446,-13.24,59.53,0.545
411.917,-13.34,59.02,0.675
410.342,-13.4,58.44,1.725
409.137,-13.36,58.29,1.438
406.98,-13.25,59.88,1.388
403.106,-13.2,60.53,1.238
400.224,-13.18,59.54,1.275
398.141,-13.08,59.68,0.665
397.093,-13.16,59.91,0.365
396.181,-13.24,59.06,0
395.137,-13.24,58.39,0
393.392,-13.22,57.56,0.165
391.675,-13.09,55.42,0.39
389.425,-13.12,56.03,0.29
386.95,-13.2,55.87,0.245
386.523,-13.16,56.11,0.402
385.852,-13.01,55.7,1.015
384.309,-12.86,57.17,0.472
381.45,-12.59,57.07,0.365
377.864,-12.61,56.59,0
375.108,-12.79,55.58,0.827
373.953,-12.96,56.19,0
374.18,-13.02,56.05,0
373.624,-12.96,55.25,0.4
370.981,-12.62,55.86,0
366.961,-12.37,55.97,0
364.449,-12.17,55.64,0
363.325,-12.23,53.07,0.048
361.258,-12.17,52.14,0.747
358.284,-12.01,53.26,0.4
356.099,-12.15,54.61,0.387
353.615,-12.34,54.08,0.938
351.636,-12.22,54.54,0.722
350.975,-12.08,55.44,1.475
349.385,-12.25,56.44,0.99
346.572,-12.47,57.2,0.188
343.985,-12.34,56.89,1.003
341.727,-12.23,57.21,1.088
339.52,-12.24,58.13,0.53
337.347,-12.06,58.25,1.128
334.446,-11.9,56.06,0.352
331.784,-12.01,55.21,0.402
329.635,-11.95,55.6,0.128
327.981,-11.71,55.46,0
326.013,-11.59,55.21,0.022
322.91,-11.83,53.49,0.035
321.167,-11.86,53.8,0.128
319.087,-11.82,52.37,0.4
316.775,-11.93,52.96,0.735
314.255,-11.9,54.53,0.245
311.27,-11.76,55.56,0.188
307.632,-11.57,56.24,0.153
304.947,-11.41,54.49,0.267
304.034,-11.04,54.69,0
302.287,-10.82,54,0
299.656,-10.62,52.78,0.432
298.319,-10.46,54.16,0.022
295.862,-10.59,53.47,0.022
292.629,-10.97,53.69,0.57
290.654,-11.18,53.96,0
287.686,-11.49,54.12,0.85
284.942,-11.74,54.81,1.475
282.622,-11.9,55.61,1.138
280.05,-12.02,55.69,0.825
276.781,-12.24,56.75,0.875
274.024,-12.32,55.63,0.567
271.443,-12.33,55.25,0
270.186,-12.23,55.4,0.407
268.208,-12.12,55.61,0.572
264.575,-12.08,56.44,0.188
261.846,-12.04,56.02,0.022
258.998,-12.03,55.66,0.437
256.378,-11.96,55.64,0.14
254.252,-11.84,56.09,0.045
251.709,-11.65,55.74,0.223
249.084,-11.52,55.74,0
246.906,-11.52,56.69,0.057
243.872,-11.56,56.19,0
239.781,-11.48,54.21,0
236.144,-11.28,53.45,0
234.237,-11.13,53.1,0.665
233.922,-11.09,53.82,0.965
231.601,-11.09,54.78,0.83
228.652,-11.09,55.63,0.128
225.263,-11.21,55.03,1
221.714,-11.5,55.64,0.567
218.83,-11.73,56.36,0.993
216.484,-11.81,57.02,0.963
214.351,-11.8,57.68,0.307
212.262,-11.69,58.02,0.742
209.647,-11.7,57.28,1
206.692,-11.91,57.1,1.263
204.297,-12.11,57.62,1.013
201.456,-12.26,58.09,1.063
199.166,-12.32,58.47,0.84
196.446,-12.44,58.44,0.875
193.589,-12.49,58.45,1.128
190.962,-12.46,58.63,1.163
188.123,-12.36,59.18,1.1
185.089,-12.24,59.82,0.022
182.163,-12.12,60,0.07
179.652,-12.07,59.68,0
177.107,-12.01,58.83,0
174.011,-11.96,57.73,0.163
170.806,-11.84,56.82,0
168.312,-11.75,56.51,0
165.829,-11.54,56.7,0
163.935,-11.26,56.69,0
161.833,-11.09,56.18,0.153
159.353,-11.09,55.79,0.697
155.833,-11.53,56.27,1.038
152.131,-11.91,57.01,0.82
148.827,-12.03,57.47,1.225
146.481,-12.08,58.38,0.792
144.185,-12.2,58.78,0.62
141.965,-12.28,58.8,0
139.042,-12.11,58.79,0
136.346,-11.77,58.39,0
134.436,-11.5,57.53,0.365
131.511,-11.3,58.08,0.938
128.821,-11.17,57.33,0.362
126.034,-11.12,57.69,0.745
123.059,-11.07,56.7,0.045
120.174,-10.95,56.51,0
117.863,-10.87,56.68,0
115.76,-10.66,56.8,0
113.341,-10.47,56.82,0
110.189,-10.38,55.44,0.595
106.929,-10.32,56.18,1.55
103.805,-10.31,57.61,0.883
101.628,-10.44,59.04,0.745
99.6393,-10.54,59.75,0.862
97.3726,-10.55,60.55,0.382
94.8817,-10.57,60.56,0.163
91.6771,-10.55,60.1,0
88.1326,-10.55,58.95,0.15
84.8796,-10.78,58.74,0.83
82.1416,-11.2,59.56,0.635
80.0322,-11.38,60.23,0.82
77.6852,-11.51,60.78,1.075
75.406,-11.68,61.2,1.15
72.9155,-11.8,61.71,0.457
70.0714,-11.82,62.02,0
67.1211,-11.8,61.72,0
64.4431,-11.82,61.47,0.49
61.9895,-11.87,61.25,0.128
